2019-04-01 00:00:58,0
2019-04-01 00:30:00,0
2019-04-01 01:00:17,1
2019-04-01 01:30:00,0
2019-04-01 02:00:00,0
2019-04-01 02:30:26,2
2019-04-01 03:00:17,2
2019-04-01 03:30:58,0
2019-04-01 04:00:00,0
2019-04-01 04:30:00,2
2019-04-01 05:00:17,3
2019-04-01 05:30:37,1
2019-04-01 06:00:26,1
2019-04-01 06:30:00,4
2019-04-01 07:00:00,6
2019-04-01 07:30:00,35
2019-04-01 08:00:26,41
2019-04-01 08:30:17,77
2019-04-01 09:00:37,61
2019-04-01 09:30:00,105
2019-04-01 10:00:00,58
2019-04-01 10:30:58,135
2019-04-01 11:00:00,86
2019-04-01 11:30:26,89
2019-04-01 12:00:17,84
2019-04-01 12:30:37,138
2019-04-01 13:00:00,88
2019-04-01 13:30:00,142
2019-04-01 14:00:00,96
2019-04-01 14:30:00,98
2019-04-01 15:00:26,73
2019-04-01 15:30:00,140
2019-04-01 16:00:00,106
2019-04-01 16:30:00,93
2019-04-01 17:00:00,82
2019-04-01 17:30:00,132
2019-04-01 18:00:37,83
2019-04-01 18:30:26,73
2019-04-01 19:00:00,35
2019-04-01 19:30:58,16
2019-04-01 20:00:00,8
2019-04-01 20:30:00,9
2019-04-01 21:00:00,11
2019-04-01 21:30:37,5
2019-04-01 22:00:17,3
2019-04-01 22:30:00,3
2019-04-01 23:00:00,0
2019-04-01 23:30:00,0
2019-04-02 00:00:26,0
2019-04-02 00:30:00,2
2019-04-02 01:01:20,1
2019-04-02 01:30:17,0
2019-04-02 02:00:00,0
2019-04-02 02:30:00,5
2019-04-02 03:00:37,3
2019-04-02 03:30:26,0
2019-04-02 04:00:00,0
2019-04-02 04:30:58,1
2019-04-02 05:00:00,2
2019-04-02 05:30:00,0
2019-04-02 06:00:00,0
2019-04-02 06:30:37,0
2019-04-02 07:00:26,6
2019-04-02 07:30:00,39
2019-04-02 08:00:00,25
2019-04-02 08:30:00,66
2019-04-02 09:00:26,64
2019-04-02 09:30:00,90
2019-04-02 10:00:17,61
2019-04-02 10:30:00,61
2019-04-02 11:00:00,66
2019-04-02 11:30:00,168
2019-04-02 12:00:00,156
2019-04-02 12:30:26,129
2019-04-02 13:00:17,113
2019-04-02 13:31:20,139
2019-04-02 14:00:00,90
2019-04-02 14:30:00,125
2019-04-02 15:00:00,112
2019-04-02 15:30:00,92
2019-04-02 16:00:17,106
2019-04-02 16:30:00,98
2019-04-02 17:00:00,84
2019-04-02 17:30:00,128
2019-04-02 18:00:00,100
2019-04-02 18:30:00,28
2019-04-02 19:00:37,13
2019-04-02 19:30:17,25
2019-04-02 20:00:00,16
2019-04-02 20:30:17,7
2019-04-02 21:00:00,5
2019-04-02 21:30:00,4
2019-04-02 22:00:17,2
2019-04-02 22:30:17,0
2019-04-02 23:00:00,2
2019-04-02 23:30:00,0
2019-04-03 00:00:17,1
2019-04-03 00:30:00,1
2019-04-03 01:00:58,0
2019-04-03 01:30:00,0
2019-04-03 02:00:17,0
2019-04-03 02:30:00,1
2019-04-03 03:00:00,1
2019-04-03 03:30:17,1
2019-04-03 04:00:00,0
2019-04-03 04:30:00,2
2019-04-03 05:00:00,1
2019-04-03 05:30:37,2
2019-04-03 06:00:00,1
2019-04-03 06:30:00,3
